City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
107,Kayangel,8.0823,134.7173,28.39,79,100,8.96,PW,1702613737
108,Ofunato,39.0717,141.7167,4.17,94,100,2.15,JP,1702613737
109,Ouro Preto Do Oeste,-10.7481,-62.2158,23.47,95,95,0.93,BR,1702613521
110,Rio Grande,-32.035,-52.0986,23.3,91,100,2.98,BR,1702613737
111,Wynyard,-41.0,145.7167,18.25,44,58,7.03,AU,1702613359
112,Puerto Penasco,31.3167,-113.5333,18.02,34,7,4.61,MX,1702613738
113,Deqen,29.9618,90.7188,6.17,15,1,5.01,CN,1702613739
114,Tazacorte,28.629,-17.9293,19.54,74,100,4.12,ES,1702613739
115,Pilar Do Sul,-23.8131,-47.7164,19.16,75,5,2.07,BR,1702613740
116,Corner Brook,48.9667,-57.9484,-5.55,76,92,4.79,CA,1702613296
117,Meulaboh,4.1363,96.1285,27.07,84,94,0.84,ID,1702613740
118,Kodiak,57.79,-152.4072,-8.27,86,0,3.09,US,1702613652
119,Arno,60.1167,18.6333,-11.16,93,92,2.82,SE,1702613741
120,Cole Harbour,44.6724,-63.4751,-3.29,79,56,1.79,CA,1702613723
121,Anqing,30.5092,117.0506,2.27,86,100,6.41,CN,1702613741
122,Sultandagi,38.5311,31.2281,9.42,59,99,3.32,TR,1702613741
123,Gadzhiyevo,69.2551,33.3362,-14.33,98,74,5.49,RU,1702613741
124,Samana,19.2056,-69.3369,24.56,77,100,5.78,DO,1702613742
125,Edinburgh Of The Seven Seas,-37.0676,-12.3116,15.64,92,53,9.92,SH,1702613664
126,Temirlanovka,42.5994,69.2633,0.77,70,100,1.76,KZ,1702613742
127,Halvad,23.0167,71.1833,23.67,39,0,3.43,IN,1702613742
128,Watsa,3.0372,29.5355,14.58,75,9,1.0,CD,1702613742
129,Tolanaro,-25.0319,46.9987,25.83,75,5,4.82,MG,1702613695
130,Issenye,-2.0,34.3333,17.28,96,35,1.11,TZ,1702613743
131,Kavaratti,10.5669,72.642,28.46,71,100,3.26,IN,1702613631
132,Kushiro,42.975,144.3747,-2.47,63,75,3.09,JP,1702613743
133,Lonar,19.9833,76.5333,21.37,49,0,2.8,IN,1702613743
134,Nova Soure,-11.2333,-38.4833,21.76,95,98,3.05,BR,1702613743
135,Saint-Philippe,-21.3585,55.7679,28.77,80,22,5.03,RE,1702613671
136,Talnakh,69.4865,88.3972,-24.89,99,100,2.68,RU,1702613639
137,Udachny,66.4167,112.4,-30.31,82,98,2.26,RU,1702613618
138,Tieli,46.95,128.05,-16.77,62,100,4.56,CN,1702613744
139,Saipan,15.1355,145.701,30.39,66,40,9.77,MP,1702613314
140,Ust-Nera,64.5667,143.2,-22.95,96,100,3.14,RU,1702613686
141,Castillos,-34.1667,-53.8333,19.59,94,100,2.3,UY,1702613692
142,Antsiranana,-12.2787,49.2917,27.43,73,62,6.48,MG,1702613668
143,As Samawah,31.332,45.2944,13.22,50,0,4.24,IQ,1702613744
144,Susuman,62.7833,148.1667,-22.23,97,100,3.13,RU,1702613745
145,Dudinka,69.4058,86.1778,-24.07,94,82,8.05,RU,1702613745
146,Rongelap,11.1635,166.8941,27.37,80,74,8.41,MH,1702613795
147,Badger,64.8,-147.5333,-28.69,74,40,0.0,US,1702613670
148,Enewetak,11.3474,162.3373,27.67,81,94,9.24,MH,1702613649
149,Staryye Ozinki,51.1786,49.6769,-9.81,57,8,5.62,RU,1702613745
150,Shenjiamen,29.9576,122.298,11.66,83,95,11.42,CN,1702613745
151,Mar Del Plata,-38.0023,-57.5575,19.01,90,100,13.86,AR,1702613706
152,Coquimbo,-29.9533,-71.3436,14.85,88,0,2.06,CL,1702613746
153,Fort Bragg,35.139,-79.006,1.56,77,0,0.0,US,1702613593
154,Glazov,58.1394,52.6584,-13.4,92,100,3.09,RU,1702613746
155,Qaqortoq,60.7167,-46.0333,-19.68,73,2,3.4,GL,1702613590
156,Portland,45.5234,-122.6762,9.49,82,75,4.02,US,1702613838
157,Mahdishahr,35.7108,53.3556,0.35,84,89,2.26,IR,1702613746
158,George Town,5.4112,100.3354,30.96,78,40,3.6,MY,1702613746
159,Ouesso,1.6136,16.0517,20.52,71,100,0.5,CG,1702613747
160,Kaa-Khem,51.6833,94.7333,-26.51,94,100,0.57,RU,1702613747
161,Cestos City,5.46,-9.5828,25.61,83,0,2.95,LR,1702613388
162,Aktau,43.65,51.2,-9.68,87,41,3.58,KZ,1702613941
163,Palm Valley,30.1775,-81.3876,18.35,81,100,8.2,US,1702613747
164,Briare,47.6334,2.7438,6.97,93,100,2.63,FR,1702613747
165,Chernyshevskiy,63.0128,112.4714,-31.42,94,100,2.72,RU,1702613730
166,Puerto Gaitan,4.3133,-72.0816,26.52,66,100,2.91,CO,1702613748
167,Pont Rouge,48.8833,-72.0825,-2.84,87,97,4.45,CA,1702613748
168,Haiku-Pauwela,20.9219,-156.3051,21.69,70,75,11.32,US,1702613638
169,Chinde,26.8418,88.0763,14.55,53,3,1.93,NP,1702613748
170,At Taj,24.2049,23.2857,12.04,39,0,2.69,LY,1702613748
171,Capao Da Canoa,-29.7456,-50.0097,23.04,93,100,3.25,BR,1702613748
172,Gering,41.8258,-103.6605,-1.6,93,0,2.06,US,1702613575
173,Nuuk,64.1835,-51.7216,-8.66,57,40,2.06,GL,1702613673
174,Recreo,-29.2818,-65.061,26.32,80,30,5.34,AR,1702613749
175,Tura,25.5198,90.2201,20.68,54,7,0.48,IN,1702613397
176,Uturoa,-16.7333,-151.4333,27.64,82,81,8.34,PF,1702613598
